Identifikasjonsnummer	Tittel / betegnelse	Emne nivå 1	Emne nivå 2	Emne nivå 1	Emne nivå 2	Tilstand 0 - 3  (Skjult)	Datering:Sikker eller usikker	Fra:	Til:	Produksjonssted: Sikker eller usikker	By	Land	Verdensdel	Kunstner/produsent	Bredde (cm)	Høyde (cm)	Dybde (cm)	Vekt (gram)	Materiale/teknikk	Proviniens	Oppbevares hvor (Skjult)	Rom:  (Skjult)	H:  (Skjult)	V:  (Skjult)	Annet sted:  (Skjult)	Utlånt  (Skjult)	Supplerende	Nøkkelord	Referanselitteratur
GA_LH_000084	La Typographie	Bøker	Typografiske			1	Sikker	1930		Sikker	Paris	Frankrike	Europa	Valotaire, Marcel	20	26			Ubundne sider i omslag		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Paris: Henry Babou, 1930. Nr.  589 av 1000. Første bind i serien "La technique du livre et des arts graphiques". Illustrert med fotografier av Jacques Evers.	Lysten og hemmeligheten, typografiske, bøker, foto, Frankrike, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000085	Ivrisconsvlto ac senatvs Veneti a secretis magno	Bøker	Eldre bøker				Sikker	1513		Sikker	Venezia	Italia	Europa	Manutius, Aldus & Faseolo, Francisco	20.5	31.2									IKKE merket		Venezia 1513.	Lysten og hemmeligheten, bøker, Italia, Manutius, Faseolo, 1500-1599	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000087	The Holy Bible	Bøker	Typografiske			1	Sikker	1763		Sikker	Cambridge	Storbritannia	Europa	Baskerville, John (typo.)	32.6	51.2	9.5		Innbundet		Magasinet	Reol A2	Hylle 1	Venstre, liggende			Cambridge 1763. Typografi av av John Baskerville.	Lysten og hemmeligheten, ARKIV, typografiske, bøker, Storbritannia, religiøse tekster, bibel, Baskerville, 1700-1799	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004, "ARKIV", Guttorm Guttormgaard, Pax Forlag, 2010.
GA_LH_000088	De Sublimi	Bøker	Typografiske			1	Sikker	1793		Sikker	Parma	Italia	Europa	Bodoni, Giambattista (typo.) & Longinus, Dionysios	29.5	43.5			Innbundet		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Parmae: In aedibus Palatinis, 1793. Typografi av Giambattista Bodoni.	Lysten og hemmeligheten, typografiske, bøker, Italia, Bodoni, Longinus, 1700-1799	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000089	Håndskrift	Bøker	Arabiske & orientalske	Bøker	Kalligrafiske	2	Sikker	1930	1939	Sikker		Japan	Asia	Ukjent	20.3	28.9			Håndskrift, Innbundet		Magasinet	Reol A1	Hylle 2	Høyre, i kasse			Japan 1930-tallet. Håndskrevet øvelsesbok i sang.	Lysten og hemmeligheten, kalligrafiske, orientalske, lærebøker, Japan, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000090	Rolf Nesch	Bøker	Kataloger			0	Sikker	1958		Sikker	Oslo	Norge	Europa	Askeland, Jan	19.3	25.1			Heftet		Magasinet	Reol A2	Hylle 3	Høyre			Oslo: Det Norske Studentersamfunds kulturutvalg, 1958. Katalog utgitt i forbindelse med en separatutstilling med Rolf Nesch i Oslo Kunstforening. Omslag i pregtrykk av Rolf Nesch.	Lysten og hemmeligheten, Nesch, Askeland, pregtrykk, kataloger, Norge, 1950-1959	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000091	Under Milk Wood	Bøker	Skjønnlitteratur			1	Sikker	1954		Sikker	London	Storbritannia	Europa	Dylan, Thomas	13	18.8			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			London: J.M. Dent & Sons Ltd., 1954. Hørespill av Dylan Thomas.	Lysten og hemmeligheten, Thomas, Storbritannia, typografiske, bøker, 1950-1959	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000092	Art	Bøker	Kunstbøker			2	Sikker	1929		Sikker	Paris	Frankrike	Europa	Ozenfant, Amédée	15.7	24.4			Heftet		Magasinet	Reol A2	Hylle 3	Midten			Paris: Jean Budry & Cie, 1929. Kunstteoretisk bok av Amédée Ozenfant .	Lysten og hemmeligheten, Ozenfant, kunst, bøker, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000093	Pierre à Feu. Les Miroirs Profonds	Bøker	Artist's books			0	Sikker	1947		Sikker	Paris	Frankrike	Europa	Matisse, Henri	20.8	24			Heftet. Tilhørende omslag og futteral i papp		Magasinet	Reol A2	Hylle 3	Høyre			Paris: Maeght, 1947. Inneh. to originale trykk av Henri Matisse (tresnitt og linoleumssnitt). Løse vedlegg:	Lysten og hemmeligheten, Matisse, litografi, collage, tresnitt, artist's books, bøker, 1940-1947	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000094	1939-1945: We have not forgotten	Bøker	Fotobøker			1	Sikker	1959		Sikker	Warzawa	Polen	Europa	Wrzos-Glinka, Stanislaw (red.) & Mazur, Tadeusz (red.) & Tomaszewski, Jerzy (red.) 	22.6	32.4			Innbundet		Magasinet	Reol A2	Hylle 2	Høyre			Warzawa 1959. Fotobok med bilder fra 2. verdenskrig.	Lysten og hemmeligheten, krig, foto, bøker, dokumentasjon, Polen, 1950-1959	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000095	Oslo illustrerte	Magasiner	Andre				Sikker	1928		Sikker	Oslo	Norge	Europa		26.8	34									IKKE merket		Oslo 1928, nr. 28.	Lysten og hemmeligheten, magasiner, illustrerte, 1920-1929, Norge	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000096	Aus meiner Schublade. Album von Olaf Gulbransson	Bøker	Illustrerte			1	Usikker	1912		Usikker	München	Tyskland	Europa	Gulbransson, Olaf Leonhard	29.9	40.2			Innbundet		Magasinet	Reol A1	Hylle 2	Høyre, liggende			München: Verlag Albert Langen, ca. 1912. Illustrasjoner av Olaf Gulbransson.	Lysten og hemmeligheten, illustrerte, bøker, bildebøker, Gulbransson, Norge, Tyskland, 1910-1919	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000097	The Machine: as seen at the end og the mechanical age	Bøker	Kataloger			0	Sikker	1968		Sikker	New York	USA	Nord-Amerika	Hultén, K.G. Pontus	21.6	24.6			Innbundet, omslag i metall		Magasinet	Reol A2	Hylle 3	Høyre			New York: The Museum of Modern Art, 1968.  Katalog til utstillingen "The Maschine: as seen at the end of the mechanical age".	Lysten og hemmeligheten, kataloger, kunstbøker, pregtrykk, Hultén, USA, 1960-1969	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000098	Paul Klee	Bøker	Kunstbøker			1	Sikker	1954		Sikker	Stuttgart	Tyskland	Europa	Grohmann, Will	21.3	30.1			Innbundet		Magasinet	Reol A2	Hylle 2	Høyre			Stuttgart: W. Kohlhammer, 1954. Kunstnermonografi om Paul Klee. Illustrert med et utvalg av kunstnerens arbeider.	Lysten og hemmeligheten, Klee, Grohmann, Sveits, Tyskland, monografi, kunstbøker, 1950-1959	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000099	Derrière le Miroir: L'atelier d'Alberto Giacometti	Bøker	Kataloger			1	Sikker	1957		Sikker	Paris	Frankrike	Europa	Genet, Jean	28	38			Ubundne sider i omslag		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Paris: A. Maeght, 1957. Nr. 98 av magasinet "Derrière le miroir". Inneh. originale litografier av Alberto Giacometti. Tekst av Jean Genet.	Lysten og hemmeligheten, Giacometti, Genet, magasiner, litografi, 1950-1959	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000100	Det var en gang	Bøker	Illustrerte			1	Sikker	1934		Sikker	Oslo	Norge	Europa	Gulbransson, Olaf Leonhard	21	27.6			Innbundet		Magasinet	Reol A2	Hylle 2	Høyre			Oslo: Gyldendal Norsk Forlag, 1934. Tekst og tegninger Olaf Gulbransson.	Lysten og hemmeligheten, illustrerte bøker, Gulbransson, Norge, bildebøker, 1930-1919	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000101	Die Kunst des Radierens	Bøker	Grafikk			1	Sikker	1908		Sikker	Berlin	Tyskland	Europa	Struck, Hermann	18.8	23.6			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Berlin: Paul Cassirer, 1908. Fullstendig tittel: "Die Kunst des Radierens. Ein handbuch von Herman Struck". Inneh. originale raderinger av Edvard Munch, Anders Zorn, Max Liebermann, Paul Baum og Hermann Struck.	Lysten og hemmeligheten, grafikkbøker, originalgrafikk, radering, Munch, Zorn, Liebermann, Baum, Struck, lærebøker, 1900-1909	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000102	Journal d'un cheval	Bøker	Artist's books			1	Sikker	1952		Sikker	Paris	Frankrike	Europa	Goll, Claire	23.7	30.2			Ubundne sider i omslag		Magasinet	Reol A2	Hylle 2	Høyre			Paris: Éditions Manuel Bruker, 1952. Nr. 61 av 200. Inneh. to originale koldnålsraderinger og fem originale litografier av Marc Chagall.	Lysten og hemmeligheten, Chagall, litografi, radering, originalgrafikk, kunstbøker, 1950-1959	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000103	Atlas Colorié de Spedalskhed (Elephantiasis des Grecs)	Bøker	Plansjeverk	(Bøker)	(Vitenskapelige)	1	Sikker	1847	1849	Sikker	Monte-Carlo	Monaco	Europa	Danielssen, D. C. & Boeck, C. W.	24.5	32			Håndkolorert litografi		Magasinet	Reol A2	Hylle 1	Venstre, i egen mappe, liggende			Bergen: 1847. Plansjeverk om spedalskhet.  24 håndkolorerte litografier av Johan Ludvig Losting. 	Lysten og hemmeligheten, plansjeverk, litografi, Losting, medisin, Norge, Monaco, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000104	Die Graphik der Neuzeit	Bøker	Grafikk			1	Sikker	1922		Sikker	Berlin	Tyskland	Europa	Glaser, Curt	19.1	26.5			Innbundet		Magasinet	Reol A2	Hylle 2	Høyre			Berlin: Bruno Cassirer, 1922. Nr. 74 av 150. Fullstendig tittel: "Die Graphik der Neuzeit vom Anfang des XIX. Jahrhunderts bis zur Gegenwart". Inneh. seks originale trykk av Edward Munch, Lovis Corinth, Max Pechstein, Hans Purrmann, Max Liebermann og Max Slevogt.	Lysten og hemmeligheten, radering, tresnitt, litografi, Munch, Corinth, Pechstein, Purrmann, Liebermann, Slevogt, Glaser, originalgrafikk, grafikkbøker, Tyskland, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000105	Picasso Lithographe II	Bøker	Artist's books			1	Sikker	1947	1949	Sikker	Monte-Carlo	Monaco	Europa	Picasso, Pablo	24.5	32			Innbundet		Magasinet	Reol A2	Hylle 2	Midten			Monte-Carlo: André Sauret, 1947-49. Katalog over Pablo Picassos litografiske produksjon fra 1947-49. Inneh. to originale litografier av Pablo Picasso (omslag og frontispise). Tekst og katalog av Fernand Mourlot. 	Lysten og hemmeligheten, Picasso, Mourlot, litografi, kunstbøker, kataloger, originalgrafikk, Monaco, Spania, 1940-1949	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000106	Paradise Lost	Bøker	(Illustrerte)	Bøker	Skjønnlitteratur	2	Sikker	1827		Sikker	London	Storbritannia	Europa	Milton, John	26.7	37.5			Innbundet		Magasinet	Reol A2	Hylle 1	Høyre, liggende			London: Septimus Prowett, 1827. Bind 2. Diktverk av John Milton. Illustrasjoner i mezzotint av John Martin.	Lysten og hemmeligheten, illustrerte bøker, mezzotint, Milton, Martin, Storbritannia, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000107	Boken om Mymlen, Mummitrollet og lille My: Hvordan gikk det	Bøker	Illustrerte			3	Sikker	1957		Sikker	Oslo	Norge	Europa	Jansson, Tove	21	28			Innbundet		Magasinet	Reol A2	Hylle 2	Høyre			Oslo: Aschehoug, 1957. Bildebok med illustrasjoner og tekst av Tove Jansson. Norsk oversettelse av André Bjerke.	Lysten og hemmeligheten, bildebøker, illustrerte bøker, barn, Jansson, Finland, Norge, 1950-1959	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000108_A	Die Feuerland-Indianer. Bind I, del 1	Bøker	Etnografika			1	Sikker	1931		Sikker	Wien	Østerrike	Europa	Gusinde, Martin	28.7	20			Innbundet		Magasinet	Reol A2	Hylle 2	Midten			Wien: Verlag der Internationalen Zeitschrift "Anthropos", 1931. Bind 1, del 1. Fullstendig tittel: "Die Feuerland Indianer. Ergebnisse meiner vier Forschungsreisen in den Jahren 1918 bis 1924".  	Lysten og hemmeligheten, plansjeverk, minoritetskulturer, etnografika, Gusinde, Østerrike, Sør-Amerika, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000108_B	Die Feuerland-Indianer. Bind I, del 2	Bøker	Plansjeverk	Bøker	Etnografika	1	Sikker	1931		Sikker	Wien	Østerrike	Europa	Gusinde, Martin	28.7	20			Ubundne sider i omslag		Magasinet	Reol A2	Hylle 2	Midten			Wien: Verlag der Internationalen Zeitschrift "Anthropos", 1931. Bind 1, del 2. 51 ubundne plansjer med fotografier fra Ildlandet.	Lysten og hemmeligheten, plansjeverk, minoritetskulturer, etnografika, Gusinde, Østerrike, Sør-Amerika, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000109	Helhesten. Tidsskrift for kunst. 	Magsiner	Andre			1	Sikker	1941		Sikker	København	Danmark	Europa	Olsen, R. Dahlmann (red.)	18.3	24			Heftet		Magasinet	Reol A2	Hylle 3	Midten			København 1941. 1. Aargang. Hefte 5 og 6.	Lysten og hemmeligheten, magasiner, kunst, Danmark, Jorn, Olsen, 1940-1949	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000110	Masques Dogons	Bøker	Etnografika			1	Sikker	1938		Sikker	Paris	Frankrike	Europa	Griaule, Marcel	16.6	26.4			Innbundet		Magasinet	Reol A2	Hylle 2	Midten			Paris: Institut d'Ethnologie, 1938. Illustrert, derav 32 innbundne plansjer.	Lysten og hemmeligheten, etnografika, dogon, Griaule, Frankrike, Afrika, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000111	Träskfolket: svenska Rhodesia-Expeditionens etnografiska forskningsresultat	Bøker	Etnografika			1	Sikker	1916		Sikker	Stockholm	Sverige	Europa	Rosen, Eric von	24.5	32			Innbundet		Magasinet	Reol A2	Hylle 2	Midten			Stockholm: Albert Bonniers förlag, 1916. Illustrert, derav 78 innbundne plansjer.	Lysten og hemmeligheten, bøker, etnografika, Afrika, Sverige, Rosen, 1910-1919	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000112	Østnorske ristninger og malinger av den arktiske gruppe	Bøker	Etnografika			1	Sikker	1934		Sikker	Oslo	Norge	Europa	Engelstad, Eivind S.	21.8	28.6			Innbundet		Magasinet	Reol A2	Hylle 2	Midten			Oslo: Aschehoug, 1934.	Lysten og hemmeligheten, bøker, plansjeverk, Norge, Engelstad, 1930-1939	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000113	Norge, fremstillet i lithographerede Billeder efter Naturen	Bøker	Norvegica	Bøker	Plansjeverk	2	Sikker	1836	1837	Sikker	Oslo	Norge	Europa	Wergmann, P.F.	24.2	19			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Christiania, Paa Forfatterens Forlag, 1836-37. Første bind. 48 orig. litografier med norske prospekter av landskapsmaler P.S. Wergmann.	Lysten og hemmeligheten, originalgrafikk, litografi, Wergmann, plansjeverk, norvegica, prospekter, Norge, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000114_A	Boydell's Pictoresque Scenery of Norway. Bind 1	Bøker	Norvegica	Bøker	Plansjeverk	1	Sikker	1820		Sikker	London	Storbritannia	Europa	Boydell, John	34.5	50.2			Innbundet		Magasinet	Reol A2	Hylle 1	Venstre, liggende			London: Published by Hurst, and Co. Cheapside; Late Boydell and Co., 1820. Bind 1 av 2. Fullstending tittel: "Boydell's Pictoresque Scenery of Norway; with the principal towns from the Naze, by the route of Christiania, to the Swinesund, from original drawings made on the spot, and engraved by John William Edy". Illustrert med 80 håndkolorerte kobberstikk av John William Edy.	Lysten og hemmeligheten, bøker, norvegica, plansjeverk, originalgrafikk, kobberstikk, Boydell, Norge, Storbritannia, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000114_B	Boydell's Pictoresque Scenery of Norway. Bind 2	Bøker	Norvegica	Bøker	Plansjeverk	1	Sikker	1820		Sikker	London	Storbritannia	Europa	Boydell, John	34.5	50.2			Innbundet		Magasinet	Reol A2	Hylle 1	Venstre, liggende			London: Published by Hurst, and Co. Cheapside; Late Boydell and Co., 1820. Bind 2 av 2. Fullstending tittel: "Boydell's Pictoresque Scenery of Norway; with the principal towns from the Naze, by the route of Christiania, to the Swinesund, from original drawings made on the spot, and engraved by John William Edy". Illustrert med 80 håndkolorerte kobberstikk av John William Edy.	Lysten og hemmeligheten, bøker, norvegica, plansjeverk, originalgrafikk, kobberstikk, Boydell, Norge, Storbritannia, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000115	The Natural History of Norway	Bøker	Norvegica			1	Sikker	1755		Sikker	London	Storbritannia	Europa	Pontoppidan, Erich	23	36.5			Innbundet		Magasinet	Reol A2	Hylle 1	Høyre, liggende			London: Printed for A. Linde, Bookseller to Her Royal Highness the Princess Dowager of Wales, in Cathrine-Street in the Sand, 1755. Engelsk oversettelse (orig. tittel: "Det første Forsøg paa Norges naturlige Historie"). Med 28 innbundne plansjer i kobberstikk og et foldekart over Norge.    	Lysten og hemmeligheten, bøker, norvegica, Norge, Storbritannia, 1700-1799	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000116_A	Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe. Atlas historique et pittoresque. Bind 1	Bøker	Plansjeverk	Bøker	Norvegica	1	Sikker	1842	1856	Sikker	Paris	Frankrike	Europa	Gaimard, Paul (red.)	40	54			Innbundet		Magasinet	Reol A1	Hylle 1	Venstre, liggende			Paris: Arthus Bertrand, 1842-56. Delbind av plansjeverket  "Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe". Plansjer med originale litografier etter tegninger av MM. Mayer, Lauvergne og Girad.	Lysten og hemmeligheten, bøker, norvegica, Frankrike, Skandinavia, Lappland, Færøyene, Svalbard, plansjeverk, litografi, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000116_B	Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe. Atlas historique et pittoresque. Bind 2	Bøker	Plansjeverk	Bøker	Norvegica	1	Sikker	1842	1856	Sikker	Paris	Frankrike	Europa	Gaimard, Paul (red.)	40	54			Innbundet		Magasinet	Reol A1	Hylle 1	Venstre, liggende			Paris: Arthus Bertrand, 1842-56. Delbind av plansjeverket  "Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe". Illustrasjoner i litografi av M.M. Mayer, Lauvergne og Girad.	Lysten og hemmeligheten, bøker, norvegica, Frankrike, Skandinavia, Lappland, Færøyene, Svalbard, plansjeverk, litografi, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000116_C	Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe. Atlas physique	Bøker	Plansjeverk	Bøker	Norvegica	1	Sikker	1842	1856	Sikker	Paris	Frankrike	Europa	Gaimard, Paul (red.)	35.1	54			Innbundet		Magasinet	Reol A1	Hylle 1	Venstre, liggende			Paris: Arthus Bertrand, 1842-56. Delbind av plansjeverket  "Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe". Illustrasjoner i etsning av M. Bravais. 	Lysten og hemmeligheten, bøker, norvegica, Frankrike, Skandinavia, Lappland, Færøyene, Svalbard, plansjeverk, litografi, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000116_D	Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe. Atlas géologique	Bøker	Plansjeverk	Bøker	Norvegica	1	Sikker	1842	1856	Sikker	Paris	Frankrike	Europa	Gaimard, Paul (red.)	35.1	54			Innbundet		Magasinet	Reol A1	Hylle 1	Venstre, liggende			Paris: Arthus Bertrand, 1842-56. Delbind av plansjeverket  "Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe". Illustrasjoner i akvatint av M.E. Robert.	Lysten og hemmeligheten, bøker, norvegica, Frankrike, Skandinavia, Lappland, Færøyene, Svalbard, plansjeverk, litografi, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000116_E	Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe. Atlas zoologique	Bøker	Plansjeverk	Bøker	Norvegica	1	Sikker	1842	1856	Sikker	Paris	Frankrike	Europa	Gaimard, Paul (red.)	35.1	54			Innbundet		Magasinet	Reol A1	Hylle 1	Venstre, liggende			Paris: Arthus Bertrand, 1842-56. Delbind av plansjeverket  "Voyages en Scandinavie, en Laponie, au Spitzberg et aux Féröe".	Lysten og hemmeligheten, bøker, norvegica, Frankrike, Skandinavia, Lappland, Færøyene, Svalbard, plansjeverk, litografi, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000117	Aqua Pictura	Bøker	Plansjeverk	Bøker	Grafikk	1	Sikker	1813		Sikker	London	Storbritannia	Europa	Hassel, J.	46	30.4			Innbundet		Magasinet	Reol A1	Hylle 1	Venstre, liggende			London 1813. Fullstendig tittel: Aqua Pictura; Illustrated by a Series of original Specimens from the Works of Messrs". Lærebok i håndkolorering. Illustrasjoner i akvatint og vannfarge.	Lysten og hemmeligheten, bøker, lærebøker, akvatint, grafikkbøker, originalgrafikk, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000118_A	Voyage pittoresque au Cap Nord. Bind 1	Bøker	Plansjeverk	Bøker	Norvegica	1	Sikker	1802		Sikker	Stockholm	Sverige	Europa	Skjöldebrand, Anders Fredrik	56	42			Heftet (oppr. ubundne blad)		Magasinet	Reol A2	Hylle 1	Venstre, liggende, i egen eske			Stockholm: Charles Delén, 1802. Bind 1. Plansjeverk i fire bind med prospekter fra Nordkapp. Illustrasjoner i akvatint.	Lysten og hemmeligheten, bøker, plansjeverk, norvegica, originalgrafikk, akvatint, Skjöldebrand, Sverige, Frankrike, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000118_B	Voyage pittoresque au Cap Nord. Bind 2	Bøker	Plansjeverk	Bøker	Norvegica	1	Sikker	1802		Sikker	Stockholm	Sverige	Europa	Skjöldebrand, Anders Fredrik	56	42			Heftet (oppr. ubundne blad)		Magasinet	Reol A2	Hylle 1	Venstre, liggende, i egen eske			Stockholm: Charles Delén, 1802. Bind 2. Plansjeverk i fire bind med prospekter fra Nordkapp. Illustrasjoner i akvatint.	Lysten og hemmeligheten, bøker, plansjeverk, norvegica, originalgrafikk, akvatint, Skjöldebrand, Sverige, Frankrike, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000118_C	Voyage pittoresque au Cap Nord. Bind 3	Bøker	Plansjeverk	Bøker	Norvegica	1	Sikker	1802		Sikker	Stockholm	Sverige	Europa	Skjöldebrand, Anders Fredrik	56	42			Heftet (oppr. ubundne blad)		Magasinet	Reol A2	Hylle 1	Venstre, liggende, i egen eske			Stockholm: Charles Delén, 1802. Bind 3. Plansjeverk i fire bind med prospekter fra Nordkapp. Illustrasjoner i akvatint.	Lysten og hemmeligheten, bøker, plansjeverk, norvegica, originalgrafikk, akvatint, Skjöldebrand, Sverige, Frankrike, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000118_D	Voyage pittoresque au Cap Nord. Bind 4	Bøker	Plansjeverk	Bøker	Norvegica	1	Sikker	1802		Sikker	Stockholm	Sverige	Europa	Skjöldebrand, Anders Fredrik	56	42			Heftet (oppr. ubundne blad)		Magasinet	Reol A2	Hylle 1	Venstre, liggende, i egen eske			Stockholm: Charles Delén, 1802. Bind 4. Plansjeverk i fire bind med prospekter fra Nordkapp. Illustrasjoner i akvatint.	Lysten og hemmeligheten, bøker, plansjeverk, norvegica, originalgrafikk, akvatint, Skjöldebrand, Sverige, Frankrike, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000016	Privat fotoalbum	Foto / film	Fotoalbum							Sikker		Nederland	Europa	Ukjent	30.5	24									IKKE merket		Privat fotoalbum.	Lysten og hemmeligheten, foto, fotoalbum, Norge, Nederland, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000086	Opera de Frate Vespasiano Amphiareo	Bøker	Typografiske	Bøker	Eldre bøker		Sikker	1556		Sikker	Venezia	Italia	Europa	Vespasiano, Amphiareo	20.5	15									IKKE merket	Korea	Venezia: Gabriele Giolito de Ferrari, 1556. Fullstendig tittel: "Opera de Frate Vespasiano Amphiareo dell'ordine minore conventvale nellaqvale si insegna ascriuere varie sorti di lettere, e massime vna lettera bastarda da lui nouamente con sua industria ritrouata laqval serue al cancellaresco et mercantesco". 	Lysten og hemmeligheten, typografiske, bøker, tresnitt, Italia, lærebøker, alfabet, 1500-1599	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000120	Ny Hermoder, et æsthetisk Ugeskrift. Bind 5	Magasiner	Andre			1	Sikker	1843		Sikker	Oslo	Norge	Europa	Winther, Hans Thøger	17	24.5			Innbundet (oppr. heftet)		Magasinet	Reol A2	Hylle 3	Midten			Christiania: H.T. Winthers Forlag, 1843. "Et Tidsskrift, inneholdende Fortællinger, Noveller og Digte, deels originale, deels oversatte fra den nyeste udenlandske Litteratur". Illustrasjoner i litografi og stålstikk.	Lysten og hemmeligheten, magasiner, Norge, Winther, originalgrafikk, litografi, stålstikk, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000121	Privat fotoalbum	Foto / film	Fotoalbum			1	Usikker	1884	1895	Usikker	Ukjent	Ukjent	Ukjent	Ukjent	27	37			Fotografier montert i album		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Privat fotoalbum av ukjent fotograf.	Lysten og hemmeligheten, foto, fotoalbum, norske motiver, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
