Identifikasjonsnummer	Tittel / betegnelse	Emne nivå 1	Emne nivå 2	Emne nivå 1	Emne nivå 2	Tilstand 0 - 3  (Skjult)	Datering:Sikker eller usikker	Fra:	Til:	Produksjonssted: Sikker eller usikker	By	Land	Verdensdel	Kunstner/produsent	Bredde (cm)	Høyde (cm)	Dybde (cm)	Vekt (gram)	Materiale/teknikk	Proviniens	Oppbevares hvor (Skjult)	Rom:  (Skjult)	H:  (Skjult)	V:  (Skjult)	Annet sted:  (Skjult)	Utlånt  (Skjult)	Supplerende	Nøkkelord	Referanselitteratur
GA_LH_000019	Della simmetria dei corpi hvmani, libri quattro	Bøker	Artist's books	Bøker	Eldre bøker	1	Sikker	1591		Sikker	Venezia	Italia	Europa	Dürer, Albrecht	22.8	31.9			Innbundet		Magasinet	Reol A2	Hylle 2	Venstre			Venezia: Presso Domenico Nicolini, 1591. Fullstendig tittel: "Di Alberto Dvrero pittore, e geometria chiarissimo. Della simmetria dei corpi humani, libri quattro."  Illustrasjoner i tresnitt.	Lysten og hemmeligheten, illustrerte, bøker, artist's books, Dürer, anatomi, lærebøker, Venezia, tresnitt, 1500-1599	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000020	Divina commedia	Bøker	Eldre bøker	Bøker	Skjønnlitteratur	1	Sikker	1578		Sikker	Venezia	Italia	Europa	Dante, Alighieri	22.8	32			Innbundet		Magasinet	Reol A2	Hylle 2	Venstre			Venezia: Appresso Giouambattista, Marchiò Sessa, et Fratelli, 1578. Fullstendig tittel: "Dante con l'espositione di Christoforo Landino, et di Alessandro Vellvtello, sopra la sua comedia dell' Inferno, del Purgatorio, & del Paradiso. Con tauole, argomenti, & allegorie, & riformato, riueduto, & ridotto alla sua uera lettura, per Francesco Sansovino fiorentino".  Illustrasjoner i tresnitt.	Lysten og hemmeligheten, Dante, Italia, tresnitt, illustrerte, bøker, 1500-1599	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000021	Il Negromante	Bøker	Eldre bøker	Bøker	Skjønnlitteratur	1	Sikker	1553		Sikker	Venezia	Italia	Europa	Aristo, Ludovico	9	14.3			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Venezia 1553. Illustrasjoner i tresnitt.	Lysten og hemmeligheten, Italia, tresnitt, illustrerte, bøker, 1500-1599	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000022	Indiæ Orientalis pars octava	Bøker	Illustrerte	Bøker	Eldre bøker	1	Sikker	1607		Sikker	Frankfurt	Tyskland	Europa	Dantiscano, M. Gotardo Arthvs	19.8	31			Innbundet		Magasinet	Reol A2	Hylle 2	Venstre			Frankfurt: Wolfgangi Richteri, 1607. Illustrasjoner i kobberstikk.	Lysten og hemmeligheten, Tyskland, tresnitt, illustrerte, bøker, latin, kobberstikk, 1600-1699	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000023	A Description of the Body of Man	Bøker	(Vitenskapelige)	Bøker	Eldre bøker	1	Sikker	1634		Sikker	London	Storbritania	Europa	Rhead, Alexander & Crooke, Helkiah & Paré, Ambroise 	12.5	19.3			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			London: Printed for Michael Sparke, 1634. Boka består av to deler med separat paginering. Del 1: "A Description of the Body of Man". Del 2: "An Explanation of the Fashion and Vse of three and fifty Instruments of Chirvrgery Gathered out of Ambrosius Pareus, the famous French Chirurgion". Illustrasjoner i tresnitt.	Lysten og hemmeligheten, Paré, vitenskap, tresnitt, anatomi, illustrerte, bøker, Storbritannia, 1600-1699	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000024	Historiae animalium liber de quadrupedibus et de avibus	Bøker	Illustrerte	Bøker	Eldre bøker	1	Sikker	1617		Sikker	Frankfurt	Tyskland	Europa	Gessner, Conrad	23	36.5			Løst blad i passepartout		Magasinet	Reol A2	Hylle 1	Venstre, liggende	IKKE merket		Frankfurt 1617. Bok om zoologi. Illustrasjoner i tresnitt. 	Lysten og hemmeligheten, tresnitt, illustrerte bøker, Gessner, Sveits, Tyskland, 1600-1699	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000025	The Book of Common Prayer	Bøker	Typografiske	Bøker	Eldre bøker	1	Sikker	1717		Sikker	London	Storbritannia	Europa	Den engelske kirke	12.5	20.8			Innbundet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			London: Den engelske kirke, 1717. Fullstendig tittel: "The Book of Common Prayer. Engraved and Printed by the Permission of Mr. John Baskett Printer to the King's most Exellent Majesty".  Trykket gjennomgående i kobberstikk.	Lysten og hemmeligheten, kobberstikk, religiøse tekster, bøker, typografiske, Storbritannia, 1700-1799	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000026	Fables 	Bøker	Illustrerte	Bøker	Skjønnlitteratur	1	Sikker	1793		Sikker	London	Storbritannia	Europa	Gay, John	16	27			Innbundet		Magasinet	Reol A2	Hylle 3	Midten			London: John Stockdale, 1793. Illustrasjoner i kobberstikk, derav 12 originaltrykk av William Blake.	Lysten og hemmeligheten, kobberstikk, Blake, illustrerte, bøker, originalgrafikk, 1700-1799	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000027	A Tour Through Sweden, Swedish-Lapland, Finland and Denmark	Bøker	Illustrerte	Bøker	Etnografika	1	Sikker	1789		Sikker	London	Storbritannia	Europa	Consett, Matthew	23	28			Innbundet		Magasinet	Reol A2	Hylle 3	Midten			London: 1789. Fullstendig tittel: "A Tour Through Sweden, Swedish-Lapland, Finland and Denmark. In a series of letters, illustrated with engravings". Med åtte illustrasjoner av Thomas Bewick, sju kobberstikk og et tresnitt.	Lysten og hemmeligheten, Sverige, Danmark, Finland, Lappland, Storbritannia, Bewick, kobberstikk, tresnitt, illustrerte, bøker, 1700-1799	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000028	History of British Birds	Bøker	Bewick, Thomas	Bøker	Illustrerte	1	Sikker	1804		Sikker	Newcastle	Storbritannia	Europa	Bewick, Thomas	15	23.6			Innbundet		Magasinet	Reol A2	Hylle 3	Midten			Newcastle:  T. Bewick, 1804. Bind 1.  Illustrasjoner i xylografi av Thomas Bewick. 	Lysten og hemmeligheten, Bewick, xylografi, illustrerte, bøker, naturhistorie, Storbritannia, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
